dataset,n_qubits,seed,run_type,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,7,no_pruning,,0.0,24,24,0.9540000557899475,0.323595391869545,0.0,0.9533333778381348,402.7060582637787
mnist,4,7,no_pruning,,0.0,24,24,0.9540000557899475,0.323595391869545,0.03,0.97,402.7060582637787
mnist,4,7,no_pruning,,0.0,24,24,0.9540000557899475,0.323595391869545,0.05,0.97,402.7060582637787
mnist,4,7,no_pruning,,0.0,24,24,0.9540000557899475,0.323595391869545,0.1,0.94,402.7060582637787
mnist,4,7,pruned,0.1,0.125,24,21,0.9540000557899475,0.323595391869545,0.0,0.9533333778381348,404.993328332901
mnist,4,7,pruned,0.1,0.125,24,21,0.9540000557899475,0.323595391869545,0.03,0.97,404.993328332901
mnist,4,7,pruned,0.1,0.125,24,21,0.9540000557899475,0.323595391869545,0.05,0.97,404.993328332901
mnist,4,7,pruned,0.1,0.125,24,21,0.9540000557899475,0.323595391869545,0.1,0.94,404.993328332901
mnist,4,7,pruned,0.25,0.25,24,18,0.9600000381469727,0.32260019971430304,0.0,0.7833333611488342,402.6802761554718
mnist,4,7,pruned,0.25,0.25,24,18,0.9600000381469727,0.32260019971430304,0.03,0.63,402.6802761554718
mnist,4,7,pruned,0.25,0.25,24,18,0.9600000381469727,0.32260019971430304,0.05,0.6,402.6802761554718
mnist,4,7,pruned,0.25,0.25,24,18,0.9600000381469727,0.32260019971430304,0.1,0.54,402.6802761554718
mnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.9600000381469727,0.32260019971430304,0.0,0.5066666603088379,399.6638307571411
mnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.9600000381469727,0.32260019971430304,0.03,0.49,399.6638307571411
mnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.9600000381469727,0.32260019971430304,0.05,0.49,399.6638307571411
mnist,4,7,pruned,0.4,0.41666666666666663,24,14,0.9600000381469727,0.32260019971430304,0.1,0.49,399.6638307571411
mnist,4,123,no_pruning,,0.0,24,24,0.9420000314712524,0.35042188192903995,0.0,0.9166666865348816,399.2714636325836
mnist,4,123,no_pruning,,0.0,24,24,0.9420000314712524,0.35042188192903995,0.03,0.9,399.2714636325836
mnist,4,123,no_pruning,,0.0,24,24,0.9420000314712524,0.35042188192903995,0.05,0.9,399.2714636325836
mnist,4,123,no_pruning,,0.0,24,24,0.9420000314712524,0.35042188192903995,0.1,0.9,399.2714636325836
mnist,4,123,pruned,0.1,0.125,24,21,0.9420000314712524,0.35042188192903995,0.0,0.9166666865348816,1735.7295784950256
mnist,4,123,pruned,0.1,0.125,24,21,0.9420000314712524,0.35042188192903995,0.03,0.9,1735.7295784950256
mnist,4,123,pruned,0.1,0.125,24,21,0.9420000314712524,0.35042188192903995,0.05,0.9,1735.7295784950256
mnist,4,123,pruned,0.1,0.125,24,21,0.9420000314712524,0.35042188192903995,0.1,0.9,1735.7295784950256
mnist,4,123,pruned,0.25,0.25,24,18,0.9300000667572021,0.35418604154884814,0.0,0.9000000357627869,2033.2243177890778
mnist,4,123,pruned,0.25,0.25,24,18,0.9300000667572021,0.35418604154884814,0.03,0.91,2033.2243177890778
mnist,4,123,pruned,0.25,0.25,24,18,0.9300000667572021,0.35418604154884814,0.05,0.9,2033.2243177890778
mnist,4,123,pruned,0.25,0.25,24,18,0.9300000667572021,0.35418604154884814,0.1,0.9,2033.2243177890778
mnist,4,123,pruned,0.4,0.41666666666666663,24,14,0.9300000667572021,0.35418604154884814,0.0,0.8533333539962769,1908.7916741371155
