dataset,n_qubits,seed,run_type,algorithm,target_sparsity,achieved_sparsity,n_params,n_params_active,train_final_acc,train_final_loss,noise_level,val_acc,total_time_s
mnist,4,4,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7080000042915344,0.44785020731650294,0.0,0.7066667079925537,910.9753954410553
mnist,4,4,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7080000042915344,0.44785020731650294,0.03,0.72,910.9753954410553
mnist,4,4,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7080000042915344,0.44785020731650294,0.05,0.72,910.9753954410553
mnist,4,4,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7080000042915344,0.44785020731650294,0.1,0.74,910.9753954410553
mnist,4,4,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7200000286102295,0.44405230865394696,0.0,0.7200000286102295,913.3203375339508
mnist,4,4,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7200000286102295,0.44405230865394696,0.03,0.7,913.3203375339508
mnist,4,4,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7200000286102295,0.44405230865394696,0.05,0.72,913.3203375339508
mnist,4,4,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7200000286102295,0.44405230865394696,0.1,0.72,913.3203375339508
mnist,4,5,no_pruning,dense,,0.0,24,24,0.7440000176429749,0.5241059283986688,0.0,0.6766666769981384,776.1329190731049
mnist,4,5,no_pruning,dense,,0.0,24,24,0.7440000176429749,0.5241059283986688,0.03,0.6,776.1329190731049
mnist,4,5,no_pruning,dense,,0.0,24,24,0.7440000176429749,0.5241059283986688,0.05,0.62,776.1329190731049
mnist,4,5,no_pruning,dense,,0.0,24,24,0.7440000176429749,0.5241059283986688,0.1,0.6,776.1329190731049
mnist,4,5,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7460000514984131,0.42663480724059044,0.0,0.6733333468437195,914.5509321689606
mnist,4,5,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7460000514984131,0.42663480724059044,0.03,0.66,914.5509321689606
mnist,4,5,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7460000514984131,0.42663480724059044,0.05,0.65,914.5509321689606
mnist,4,5,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7460000514984131,0.42663480724059044,0.1,0.66,914.5509321689606
mnist,4,5,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.42357949902042746,0.0,0.6700000166893005,911.5382187366486
mnist,4,5,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.42357949902042746,0.03,0.61,911.5382187366486
mnist,4,5,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.42357949902042746,0.05,0.62,911.5382187366486
mnist,4,5,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7260000109672546,0.42357949902042746,0.1,0.54,911.5382187366486
mnist,4,5,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6880000233650208,0.46090758808180693,0.0,0.6600000262260437,959.9091897010803
mnist,4,5,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6880000233650208,0.46090758808180693,0.03,0.61,959.9091897010803
mnist,4,5,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6880000233650208,0.46090758808180693,0.05,0.62,959.9091897010803
mnist,4,5,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.6880000233650208,0.46090758808180693,0.1,0.61,959.9091897010803
mnist,4,6,no_pruning,dense,,0.0,24,24,0.7100000381469727,0.537831244751811,0.0,0.7133333683013916,850.1289212703705
mnist,4,6,no_pruning,dense,,0.0,24,24,0.7100000381469727,0.537831244751811,0.03,0.75,850.1289212703705
mnist,4,6,no_pruning,dense,,0.0,24,24,0.7100000381469727,0.537831244751811,0.05,0.75,850.1289212703705
mnist,4,6,no_pruning,dense,,0.0,24,24,0.7100000381469727,0.537831244751811,0.1,0.77,850.1289212703705
mnist,4,6,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7040000557899475,0.4374053447335959,0.0,0.699999988079071,1013.2855215072632
mnist,4,6,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7040000557899475,0.4374053447335959,0.03,0.76,1013.2855215072632
mnist,4,6,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7040000557899475,0.4374053447335959,0.05,0.76,1013.2855215072632
mnist,4,6,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.7040000557899475,0.4374053447335959,0.1,0.77,1013.2855215072632
mnist,4,6,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7200000286102295,0.44747362934574486,0.0,0.7066667079925537,991.1714704036713
mnist,4,6,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7200000286102295,0.44747362934574486,0.03,0.72,991.1714704036713
mnist,4,6,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7200000286102295,0.44747362934574486,0.05,0.74,991.1714704036713
mnist,4,6,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.7200000286102295,0.44747362934574486,0.1,0.7,991.1714704036713
mnist,4,6,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7240000367164612,0.4359257792279125,0.0,0.7100000381469727,965.1592638492584
mnist,4,6,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7240000367164612,0.4359257792279125,0.03,0.74,965.1592638492584
mnist,4,6,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7240000367164612,0.4359257792279125,0.05,0.74,965.1592638492584
mnist,4,6,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.7240000367164612,0.4359257792279125,0.1,0.75,965.1592638492584
mnist,4,7,no_pruning,dense,,0.0,24,24,0.8300000429153442,0.42166057408973573,0.0,0.79666668176651,817.6878786087036
mnist,4,7,no_pruning,dense,,0.0,24,24,0.8300000429153442,0.42166057408973573,0.03,0.78,817.6878786087036
mnist,4,7,no_pruning,dense,,0.0,24,24,0.8300000429153442,0.42166057408973573,0.05,0.78,817.6878786087036
mnist,4,7,no_pruning,dense,,0.0,24,24,0.8300000429153442,0.42166057408973573,0.1,0.76,817.6878786087036
mnist,4,7,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.8260000348091125,0.3604829668417573,0.0,0.7900000214576721,959.8115439414978
mnist,4,7,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.8260000348091125,0.3604829668417573,0.03,0.76,959.8115439414978
mnist,4,7,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.8260000348091125,0.3604829668417573,0.05,0.77,959.8115439414978
mnist,4,7,pruned,qadaprune_r_v6,0.1,0.125,24,21,0.8260000348091125,0.3604829668417573,0.1,0.72,959.8115439414978
mnist,4,7,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.8200000524520874,0.3524373031742871,0.0,0.8100000023841858,957.8920862674713
mnist,4,7,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.8200000524520874,0.3524373031742871,0.03,0.8,957.8920862674713
mnist,4,7,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.8200000524520874,0.3524373031742871,0.05,0.79,957.8920862674713
mnist,4,7,pruned,qadaprune_r_v6,0.25,0.25,24,18,0.8200000524520874,0.3524373031742871,0.1,0.73,957.8920862674713
mnist,4,7,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.8060000538825989,0.3711854774102569,0.0,0.7833333611488342,959.4953234195709
mnist,4,7,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.8060000538825989,0.3711854774102569,0.03,0.74,959.4953234195709
mnist,4,7,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.8060000538825989,0.3711854774102569,0.05,0.74,959.4953234195709
mnist,4,7,pruned,qadaprune_r_v6,0.4,0.41666666666666663,24,14,0.8060000538825989,0.3711854774102569,0.1,0.73,959.4953234195709
fashionmnist,4,0,no_pruning,dense,,0.0,24,24,0.6680000424385071,0.5843149962872267,0.0,0.6700000166893005,817.8028354644775
